date,channel,spend,impressions,clicks
2024-02-01,Meta Ads,190.86,16698,499
2024-02-01,Google Ads,162.76,21563,638
2024-02-01,Influencer,69.05,7102,208
2024-02-01,Organic/SEO,11.26,1557,44
2024-02-01,Email/Referral,5.23,694,8
2024-02-02,Meta Ads,141.18,17516,553
2024-02-02,Google Ads,153.27,14919,280
2024-02-02,Influencer,81.52,8119,130
2024-02-02,Organic/SEO,14.13,1893,33
2024-02-02,Email/Referral,7.8,1016,29
2024-02-03,Meta Ads,226.53,20372,277
2024-02-03,Google Ads,153.73,17965,395
2024-02-03,Influencer,95.34,8659,190
2024-02-03,Organic/SEO,14.87,1575,42
2024-02-03,Email/Referral,11.77,1177,20
2024-02-04,Meta Ads,170.38,13866,370
2024-02-04,Google Ads,181.06,18337,204
2024-02-04,Influencer,116.29,11143,146
2024-02-04,Organic/SEO,10.55,1311,22
2024-02-04,Email/Referral,13.62,1429,18
2024-02-05,Meta Ads,161.67,19964,505
2024-02-05,Google Ads,115.78,10396,270
2024-02-05,Influencer,106.92,10795,268
2024-02-05,Organic/SEO,7.56,746,7
2024-02-05,Email/Referral,16.52,1719,52
2024-02-06,Meta Ads,202.5,26269,450
2024-02-06,Google Ads,121.66,16827,470
2024-02-06,Influencer,108.04,8728,164
2024-02-06,Organic/SEO,16.14,1366,33
2024-02-06,Email/Referral,11.44,927,14
2024-02-07,Meta Ads,156.76,13592,350
2024-02-07,Google Ads,126.82,12258,397
2024-02-07,Influencer,88.22,9133,256
2024-02-07,Organic/SEO,18.64,1519,32
2024-02-07,Email/Referral,14.16,1403,41
2024-02-08,Meta Ads,230.92,31544,525
2024-02-08,Google Ads,125.37,17232,369
2024-02-08,Influencer,74.25,9089,155
2024-02-08,Organic/SEO,9.01,1196,16
2024-02-08,Email/Referral,5.97,574,14
2024-02-09,Meta Ads,139.29,15084,387
2024-02-09,Google Ads,181.39,17012,517
2024-02-09,Influencer,75.68,9127,189
2024-02-09,Organic/SEO,6.72,825,12
2024-02-09,Email/Referral,7.65,776,20
2024-02-10,Meta Ads,151.27,13768,141
2024-02-10,Google Ads,147.45,15588,247
2024-02-10,Influencer,65.9,6969,207
2024-02-10,Organic/SEO,15.73,2070,21
2024-02-10,Email/Referral,19.5,1959,68
2024-02-11,Meta Ads,153.28,16599,312
2024-02-11,Google Ads,137.02,17886,512
2024-02-11,Influencer,116.58,13617,293
2024-02-11,Organic/SEO,6.35,887,21
2024-02-11,Email/Referral,15.51,1619,38
2024-02-12,Meta Ads,227.8,20498,354
2024-02-12,Google Ads,118.69,15136,174
2024-02-12,Influencer,67.41,6600,150
2024-02-12,Organic/SEO,11.09,917,31
2024-02-12,Email/Referral,19.29,1866,52
2024-02-13,Meta Ads,188.49,17764,294
2024-02-13,Google Ads,149.2,15689,271
2024-02-13,Influencer,106.61,11608,306
2024-02-13,Organic/SEO,7.84,878,15
2024-02-13,Email/Referral,12.9,1636,47
2024-02-14,Meta Ads,164.26,19983,670
2024-02-14,Google Ads,161.31,14341,387
2024-02-14,Influencer,68.66,9085,208
2024-02-14,Organic/SEO,10.78,899,17
2024-02-14,Email/Referral,18.55,1507,32
2024-02-15,Meta Ads,226.57,23493,486
2024-02-15,Google Ads,157.07,16928,240
2024-02-15,Influencer,64.0,7461,246
2024-02-15,Organic/SEO,6.6,611,11
2024-02-15,Email/Referral,17.13,1647,52
2024-02-16,Meta Ads,131.94,18004,432
2024-02-16,Google Ads,164.29,16767,495
2024-02-16,Influencer,71.99,5970,118
2024-02-16,Organic/SEO,17.81,2231,51
2024-02-16,Email/Referral,13.58,1192,36
2024-02-17,Meta Ads,210.99,25189,545
2024-02-17,Google Ads,191.8,25459,664
2024-02-17,Influencer,83.08,9727,237
2024-02-17,Organic/SEO,10.91,1073,21
2024-02-17,Email/Referral,13.61,1438,23
2024-02-18,Meta Ads,208.18,23292,272
2024-02-18,Google Ads,138.15,18387,531
2024-02-18,Influencer,80.46,10965,130
2024-02-18,Organic/SEO,19.42,1839,18
2024-02-18,Email/Referral,11.51,1168,27
2024-02-19,Meta Ads,212.05,27682,554
2024-02-19,Google Ads,143.69,12772,142
2024-02-19,Influencer,97.63,8187,232
2024-02-19,Organic/SEO,13.09,1203,28
2024-02-19,Email/Referral,7.74,822,24
2024-02-20,Meta Ads,175.89,15640,439
2024-02-20,Google Ads,121.81,15142,332
2024-02-20,Influencer,87.5,11470,317
2024-02-20,Organic/SEO,5.49,536,17
2024-02-20,Email/Referral,5.27,594,16
2024-02-21,Meta Ads,193.16,24267,682
2024-02-21,Google Ads,167.28,21628,565
2024-02-21,Influencer,84.73,9177,256
2024-02-21,Organic/SEO,18.14,1747,32
2024-02-21,Email/Referral,18.96,2174,31
2024-02-22,Meta Ads,197.68,27565,843
2024-02-22,Google Ads,172.12,15918,507
2024-02-22,Influencer,91.39,12187,222
2024-02-22,Organic/SEO,5.93,643,10
2024-02-22,Email/Referral,15.73,2161,58
2024-02-23,Meta Ads,221.79,23771,696
2024-02-23,Google Ads,180.87,22184,503
2024-02-23,Influencer,96.8,11812,192
2024-02-23,Organic/SEO,17.14,2348,50
2024-02-23,Email/Referral,15.52,1927,51
2024-02-24,Meta Ads,185.09,24598,522
2024-02-24,Google Ads,110.5,14439,387
2024-02-24,Influencer,108.86,9613,103
2024-02-24,Organic/SEO,19.02,1690,51
2024-02-24,Email/Referral,17.35,2125,28
2024-02-25,Meta Ads,198.08,26413,545
2024-02-25,Google Ads,142.22,15156,182
2024-02-25,Influencer,111.17,14691,513
2024-02-25,Organic/SEO,13.78,1723,25
2024-02-25,Email/Referral,15.01,1785,58
2024-02-26,Meta Ads,215.73,29405,932
2024-02-26,Google Ads,183.18,15354,478
2024-02-26,Influencer,95.8,9850,112
2024-02-26,Organic/SEO,15.17,1512,32
2024-02-26,Email/Referral,15.23,2051,62
2024-02-27,Meta Ads,174.66,18036,288
2024-02-27,Google Ads,138.52,12004,411
2024-02-27,Influencer,93.99,8239,155
2024-02-27,Organic/SEO,13.21,1479,16
2024-02-27,Email/Referral,19.26,1859,19
2024-02-28,Meta Ads,134.26,15414,207
2024-02-28,Google Ads,108.76,11178,285
2024-02-28,Influencer,69.04,6821,139
2024-02-28,Organic/SEO,7.39,815,9
2024-02-28,Email/Referral,5.7,633,10
2024-02-29,Meta Ads,136.3,14370,472
2024-02-29,Google Ads,170.18,21942,697
2024-02-29,Influencer,115.52,14531,366
2024-02-29,Organic/SEO,10.48,952,25
2024-02-29,Email/Referral,19.92,2152,60
2024-03-01,Meta Ads,179.47,19008,385
2024-03-01,Google Ads,150.42,15344,440
2024-03-01,Influencer,110.21,14654,229
2024-03-01,Organic/SEO,18.44,1853,32
2024-03-01,Email/Referral,15.9,1562,17
2024-03-02,Meta Ads,166.35,20508,372
2024-03-02,Google Ads,161.66,19335,548
2024-03-02,Influencer,111.45,11808,167
2024-03-02,Organic/SEO,9.78,1035,28
2024-03-02,Email/Referral,5.2,514,15
2024-03-03,Meta Ads,198.45,24588,744
2024-03-03,Google Ads,175.49,21222,445
2024-03-03,Influencer,116.11,13253,199
2024-03-03,Organic/SEO,9.39,1141,37
2024-03-03,Email/Referral,7.68,652,20
2024-03-04,Meta Ads,224.85,21716,421
2024-03-04,Google Ads,164.42,16408,523
2024-03-04,Influencer,68.81,5661,86
2024-03-04,Organic/SEO,9.29,806,9
2024-03-04,Email/Referral,16.33,1467,48
2024-03-05,Meta Ads,165.74,19927,311
2024-03-05,Google Ads,126.63,14496,348
2024-03-05,Influencer,104.51,13112,350
2024-03-05,Organic/SEO,11.74,1566,40
2024-03-05,Email/Referral,19.85,2563,28
2024-03-06,Meta Ads,160.62,18360,514
2024-03-06,Google Ads,154.53,19651,335
2024-03-06,Influencer,72.93,6070,147
2024-03-06,Organic/SEO,15.33,1526,38
2024-03-06,Email/Referral,5.78,496,13
2024-03-07,Meta Ads,165.75,19936,613
2024-03-07,Google Ads,181.74,16416,363
