customer_id,signup_date,acquisition_channel,country,age_band,gender
CUST00001,2024-09-11,Influencer,UAE,25-34,Female
CUST00002,2025-06-30,Organic/SEO,UK,45-54,Female
CUST00003,2025-02-26,Google Ads,UAE,25-34,Female
CUST00004,2024-12-13,Meta Ads,UAE,35-44,Female
CUST00005,2024-05-06,Meta Ads,India,35-44,Female
CUST00006,2024-05-06,Organic/SEO,UK,25-34,Female
CUST00007,2024-03-07,Email/Referral,Saudi Arabia,18-24,Female
CUST00008,2025-05-19,Organic/SEO,India,35-44,Female
CUST00009,2024-12-14,Google Ads,Qatar,25-34,Female
CUST00010,2025-02-12,Organic/SEO,India,45-54,Female
CUST00011,2024-02-13,Organic/SEO,UAE,25-34,Female
CUST00012,2025-07-12,Meta Ads,UAE,18-24,Female
CUST00013,2025-04-28,Influencer,Saudi Arabia,25-34,Female
CUST00014,2024-06-07,Meta Ads,Kuwait,35-44,Female
CUST00015,2024-05-21,Meta Ads,UK,18-24,Female
CUST00016,2024-05-22,Email/Referral,India,25-34,Female
CUST00017,2024-07-26,Organic/SEO,USA,25-34,Female
CUST00018,2024-11-19,Meta Ads,UAE,25-34,Male
CUST00019,2024-10-16,Email/Referral,Saudi Arabia,35-44,Female
CUST00020,2024-07-18,Email/Referral,Saudi Arabia,25-34,Female
CUST00021,2024-12-18,Influencer,UAE,35-44,Male
CUST00022,2024-04-25,Google Ads,UAE,55+,Female
CUST00023,2024-07-19,Meta Ads,UAE,18-24,Female
CUST00024,2024-09-06,Organic/SEO,Saudi Arabia,18-24,Female
CUST00025,2024-10-31,Email/Referral,India,55+,Male
CUST00026,2025-03-31,Meta Ads,UK,35-44,Female
CUST00027,2024-06-01,Meta Ads,India,18-24,Female
CUST00028,2024-11-16,Google Ads,Qatar,45-54,Female
CUST00029,2024-12-11,Google Ads,UAE,45-54,Male
CUST00030,2024-02-29,Meta Ads,India,35-44,Female
CUST00031,2024-12-17,Organic/SEO,India,35-44,Female
CUST00032,2024-05-14,Meta Ads,Saudi Arabia,18-24,Male
CUST00033,2024-03-11,Email/Referral,USA,25-34,Female
CUST00034,2025-06-30,Email/Referral,Kuwait,18-24,Female
CUST00035,2025-07-10,Meta Ads,UK,35-44,Female
CUST00036,2025-04-14,Google Ads,India,25-34,Male
CUST00037,2024-07-26,Google Ads,UAE,25-34,Female
CUST00038,2024-03-31,Meta Ads,Saudi Arabia,55+,Female
CUST00039,2025-01-28,Google Ads,India,18-24,Female
CUST00040,2024-10-21,Meta Ads,India,25-34,Female
CUST00041,2024-04-15,Meta Ads,India,25-34,Male
CUST00042,2024-11-11,Email/Referral,UAE,25-34,Female
CUST00043,2024-02-21,Meta Ads,UAE,45-54,Female
CUST00044,2025-06-11,Google Ads,USA,35-44,Female
CUST00045,2024-06-29,Meta Ads,Saudi Arabia,25-34,Female
CUST00046,2025-01-12,Organic/SEO,UK,55+,Female
CUST00047,2024-07-30,Google Ads,Saudi Arabia,45-54,Female
CUST00048,2024-11-18,Meta Ads,Saudi Arabia,25-34,Female
CUST00049,2024-11-25,Meta Ads,Kuwait,25-34,Male
CUST00050,2024-05-23,Influencer,UAE,55+,Male
CUST00051,2025-07-12,Email/Referral,Kuwait,45-54,Female
CUST00052,2025-03-24,Google Ads,UAE,25-34,Female
CUST00053,2025-06-25,Google Ads,Qatar,25-34,Male
CUST00054,2025-06-04,Google Ads,Saudi Arabia,55+,Other
CUST00055,2024-12-13,Influencer,UK,18-24,Female
CUST00056,2025-06-17,Email/Referral,India,25-34,Female
CUST00057,2024-03-25,Meta Ads,India,25-34,Male
CUST00058,2024-05-30,Meta Ads,Qatar,18-24,Female
CUST00059,2024-02-28,Influencer,UK,25-34,Female
CUST00060,2024-08-09,Email/Referral,UAE,35-44,Female
CUST00061,2024-09-20,Google Ads,India,25-34,Male
CUST00062,2024-07-06,Meta Ads,UK,25-34,Female
CUST00063,2025-04-26,Influencer,UAE,25-34,Female
CUST00064,2024-09-01,Meta Ads,Saudi Arabia,55+,Other
CUST00065,2024-07-12,Meta Ads,UAE,25-34,Male
CUST00066,2024-11-24,Email/Referral,Kuwait,25-34,Female
