customer_id,event_date,event_type
CUST00001,2025-04-16,email_open
CUST00001,2025-03-06,site_visit
CUST00002,2025-07-04,cart_add
CUST00002,2025-07-22,email_open
CUST00002,2025-07-29,cart_add
CUST00002,2025-07-06,cart_abandon
CUST00002,2025-07-10,site_visit
CUST00003,2025-07-09,site_visit
CUST00003,2025-07-13,site_visit
CUST00003,2025-04-27,cart_add
CUST00004,2025-07-03,site_visit
CUST00004,2025-01-12,cart_abandon
CUST00004,2025-01-08,site_visit
CUST00005,2025-04-13,email_open
CUST00006,2024-09-08,email_open
CUST00007,2025-04-24,site_visit
CUST00008,2025-06-18,site_visit
CUST00008,2025-07-27,review_submitted
CUST00008,2025-06-21,cart_add
CUST00008,2025-05-19,cart_add
CUST00008,2025-06-10,cart_abandon
CUST00008,2025-06-04,email_open
CUST00008,2025-06-23,site_visit
CUST00009,2024-12-24,site_visit
CUST00009,2025-01-14,site_visit
CUST00010,2025-06-03,review_submitted
CUST00010,2025-05-29,site_visit
CUST00010,2025-07-23,site_visit
CUST00010,2025-02-28,site_visit
CUST00010,2025-06-22,site_visit
CUST00011,2025-02-26,site_visit
CUST00012,2025-07-31,cart_add
CUST00012,2025-07-18,email_open
CUST00012,2025-07-19,email_open
CUST00012,2025-07-28,site_visit
CUST00012,2025-07-16,site_visit
CUST00012,2025-07-15,cart_abandon
CUST00012,2025-07-27,site_visit
CUST00013,2025-07-11,support_ticket
CUST00013,2025-06-02,cart_add
CUST00014,2025-01-13,site_visit
CUST00015,2024-11-06,cart_add
CUST00016,2024-06-04,site_visit
CUST00017,2025-01-05,site_visit
CUST00018,2025-04-14,review_submitted
CUST00019,2024-12-07,cart_add
CUST00020,2024-10-29,cart_abandon
CUST00021,2025-02-26,site_visit
CUST00022,2024-06-14,review_submitted
CUST00022,2025-07-18,site_visit
CUST00023,2025-04-03,email_open
CUST00024,2025-02-18,site_visit
CUST00025,2025-02-05,site_visit
CUST00025,2024-11-01,cart_abandon
CUST00026,2025-06-30,email_open
CUST00026,2025-04-13,support_ticket
CUST00026,2025-04-28,site_visit
CUST00027,2024-11-24,cart_abandon
CUST00028,2025-07-24,site_visit
CUST00029,2025-04-12,cart_add
CUST00030,2024-08-07,email_open
CUST00031,2025-04-05,site_visit
CUST00032,2024-10-08,site_visit
CUST00033,2025-04-21,site_visit
CUST00034,2025-07-24,support_ticket
CUST00034,2025-07-20,cart_add
CUST00034,2025-07-12,review_submitted
CUST00034,2025-07-23,site_visit
CUST00034,2025-07-30,site_visit
CUST00034,2025-07-01,cart_add
CUST00035,2025-07-29,cart_abandon
CUST00035,2025-07-16,cart_add
CUST00035,2025-07-20,cart_add
CUST00035,2025-07-23,site_visit
CUST00035,2025-07-27,cart_add
CUST00035,2025-07-27,site_visit
CUST00035,2025-07-25,cart_abandon
CUST00035,2025-07-10,site_visit
CUST00036,2025-06-23,review_submitted
CUST00036,2025-07-19,cart_abandon
CUST00036,2025-05-05,cart_add
CUST00036,2025-07-19,cart_abandon
CUST00037,2025-02-14,email_open
CUST00038,2025-04-01,site_visit
CUST00039,2025-07-26,cart_add
CUST00039,2025-02-14,cart_abandon
CUST00039,2025-02-08,site_visit
CUST00039,2025-03-04,email_open
CUST00040,2025-01-17,site_visit
CUST00040,2025-07-03,email_open
CUST00041,2024-09-20,email_open
CUST00042,2025-04-26,site_visit
CUST00043,2025-06-28,cart_add
CUST00044,2025-07-24,site_visit
CUST00044,2025-07-01,site_visit
CUST00044,2025-07-23,site_visit
CUST00044,2025-06-29,cart_add
CUST00044,2025-07-17,cart_abandon
CUST00044,2025-06-24,site_visit
CUST00044,2025-07-14,site_visit
CUST00045,2025-03-04,cart_abandon
CUST00046,2025-07-24,site_visit
CUST00046,2025-06-14,site_visit
CUST00046,2025-07-13,cart_abandon
CUST00047,2025-02-19,review_submitted
CUST00048,2024-12-29,site_visit
CUST00048,2025-03-30,site_visit
CUST00048,2025-03-13,site_visit
CUST00048,2025-02-26,site_visit
CUST00049,2025-01-31,cart_add
CUST00050,2025-04-17,email_open
CUST00051,2025-07-30,support_ticket
CUST00051,2025-07-20,email_open
CUST00051,2025-07-27,site_visit
CUST00051,2025-07-22,cart_add
CUST00051,2025-07-15,site_visit
CUST00051,2025-07-31,site_visit
CUST00051,2025-07-21,site_visit
CUST00052,2025-05-01,email_open
CUST00052,2025-05-18,cart_add
CUST00052,2025-05-10,site_visit
CUST00052,2025-04-22,site_visit
CUST00053,2025-07-07,cart_add
CUST00053,2025-07-12,site_visit
CUST00053,2025-07-02,cart_add
CUST00053,2025-07-15,review_submitted
CUST00054,2025-06-22,cart_add
CUST00054,2025-07-29,site_visit
CUST00054,2025-06-28,site_visit
CUST00054,2025-07-05,site_visit
CUST00055,2025-04-26,cart_abandon
CUST00055,2025-03-25,support_ticket
CUST00056,2025-07-04,site_visit
CUST00056,2025-06-25,cart_add
CUST00056,2025-06-30,cart_add
CUST00057,2024-04-20,site_visit
CUST00058,2025-03-21,site_visit
CUST00059,2024-10-08,site_visit
CUST00060,2025-01-20,site_visit
CUST00061,2025-07-24,email_open
CUST00062,2024-12-15,cart_add
CUST00063,2025-05-14,cart_abandon
CUST00063,2025-06-16,cart_abandon
CUST00063,2025-05-16,site_visit
CUST00063,2025-05-17,site_visit
CUST00063,2025-05-05,email_open
CUST00064,2025-04-20,cart_add
CUST00065,2025-07-17,site_visit
CUST00066,2025-03-26,site_visit
CUST00067,2025-06-06,site_visit
CUST00068,2025-06-26,site_visit
CUST00068,2025-07-17,site_visit
CUST00068,2025-06-25,site_visit
CUST00068,2025-05-30,site_visit
CUST00068,2025-07-28,cart_add
CUST00069,2024-08-07,site_visit
CUST00070,2025-07-29,cart_add
CUST00070,2025-07-25,email_open
CUST00070,2025-07-31,cart_abandon
CUST00070,2025-07-26,site_visit
CUST00070,2025-07-24,cart_add
CUST00070,2025-07-30,site_visit
CUST00070,2025-07-31,review_submitted
CUST00070,2025-07-26,site_visit
CUST00070,2025-07-26,site_visit
CUST00071,2025-06-25,site_visit
CUST00071,2025-05-26,site_visit
CUST00072,2025-03-11,cart_add
CUST00073,2025-06-14,email_open
CUST00074,2025-06-23,site_visit
CUST00074,2025-07-31,cart_add
CUST00074,2025-05-28,email_open
CUST00074,2025-06-25,cart_abandon
CUST00074,2025-07-14,cart_abandon
CUST00075,2025-03-07,support_ticket
CUST00075,2025-07-28,site_visit
CUST00075,2025-07-19,site_visit
CUST00075,2025-03-16,email_open
CUST00076,2025-03-18,site_visit
CUST00076,2025-06-29,site_visit
CUST00076,2025-04-04,review_submitted
CUST00077,2025-03-23,cart_add
CUST00077,2025-05-14,cart_abandon
CUST00077,2025-04-16,email_open
CUST00077,2025-06-26,cart_abandon
CUST00077,2025-04-27,cart_add
CUST00078,2025-01-12,site_visit
CUST00079,2024-12-30,support_ticket
CUST00080,2024-05-13,email_open
CUST00081,2025-07-31,cart_add
CUST00081,2025-06-02,site_visit
CUST00081,2025-06-23,cart_add
CUST00081,2025-05-31,site_visit
CUST00081,2025-05-25,site_visit
CUST00081,2025-07-10,support_ticket
CUST00082,2025-05-14,cart_add
CUST00083,2025-02-18,cart_add
CUST00084,2025-02-01,site_visit
CUST00085,2025-02-05,cart_add
CUST00086,2025-06-14,support_ticket
CUST00086,2025-03-05,cart_add
CUST00086,2025-05-27,site_visit
CUST00087,2025-04-06,cart_add
CUST00087,2025-04-27,email_open
CUST00087,2025-02-27,site_visit
CUST00087,2025-06-09,email_open
CUST00087,2025-06-12,cart_add
CUST00088,2025-01-08,cart_abandon
CUST00088,2025-02-01,cart_add
CUST00088,2025-04-20,cart_abandon
CUST00089,2025-07-28,site_visit
CUST00089,2025-07-18,cart_abandon
CUST00089,2025-07-07,cart_abandon
CUST00089,2025-06-28,site_visit
CUST00090,2024-11-15,cart_add
CUST00090,2025-02-17,cart_add
CUST00091,2024-09-04,site_visit
CUST00092,2025-03-27,cart_add
CUST00093,2025-05-08,cart_abandon
CUST00093,2025-04-03,cart_abandon
CUST00094,2025-02-25,cart_abandon
CUST00095,2025-06-26,cart_add
CUST00095,2025-06-16,site_visit
CUST00095,2025-05-05,site_visit
CUST00095,2025-03-24,email_open
CUST00095,2025-05-31,cart_add
CUST00096,2025-03-03,site_visit
CUST00096,2025-01-16,site_visit
CUST00096,2024-11-25,email_open
CUST00096,2025-04-03,review_submitted
CUST00097,2025-07-26,cart_add
CUST00097,2025-01-29,site_visit
CUST00098,2025-07-21,support_ticket
CUST00099,2024-09-24,site_visit
CUST00100,2024-12-01,site_visit
CUST00101,2025-06-19,cart_abandon
CUST00102,2025-06-20,site_visit
CUST00102,2025-06-11,cart_add
CUST00103,2024-09-25,site_visit
CUST00104,2025-07-20,site_visit
CUST00104,2025-04-05,cart_abandon
CUST00105,2025-06-18,cart_add
CUST00105,2025-06-21,site_visit
CUST00105,2025-07-16,email_open
CUST00106,2025-03-26,cart_abandon
CUST00107,2024-10-16,cart_abandon
CUST00108,2025-06-13,cart_abandon
CUST00108,2025-04-01,cart_add
CUST00108,2025-05-24,cart_abandon
CUST00108,2025-07-20,site_visit
CUST00109,2024-08-19,site_visit
CUST00110,2024-10-12,cart_add
CUST00111,2025-02-16,cart_add
CUST00112,2024-12-04,support_ticket
CUST00113,2025-07-06,cart_add
CUST00113,2025-07-29,site_visit
CUST00113,2025-07-14,site_visit
CUST00113,2025-07-13,cart_add
CUST00113,2025-07-02,support_ticket
CUST00113,2025-06-24,email_open
CUST00114,2025-07-31,cart_add
CUST00114,2025-04-19,site_visit
CUST00114,2025-06-03,cart_abandon
CUST00114,2025-06-04,site_visit
CUST00114,2025-04-27,site_visit
CUST00115,2025-04-23,site_visit
CUST00115,2025-04-17,review_submitted
CUST00115,2025-07-07,cart_abandon
CUST00116,2025-06-22,cart_abandon
CUST00116,2025-06-17,support_ticket
CUST00116,2025-07-16,site_visit
CUST00116,2025-07-14,site_visit
CUST00116,2025-07-28,cart_abandon
CUST00116,2025-06-28,cart_add
CUST00117,2025-05-23,cart_abandon
CUST00117,2025-04-11,site_visit
CUST00117,2025-05-26,site_visit
CUST00117,2025-05-30,cart_add
CUST00117,2025-07-09,site_visit
CUST00117,2025-07-26,site_visit
CUST00117,2025-07-08,site_visit
CUST00117,2025-07-21,review_submitted
CUST00118,2024-11-18,site_visit
CUST00118,2025-07-07,site_visit
CUST00118,2024-09-27,site_visit
CUST00118,2025-07-20,email_open
CUST00118,2025-05-14,cart_add
CUST00119,2025-06-29,cart_add
CUST00119,2025-07-23,support_ticket
CUST00119,2025-07-26,email_open
CUST00120,2025-05-20,cart_add
CUST00120,2025-03-09,email_open
CUST00120,2025-07-08,support_ticket
CUST00120,2025-06-20,email_open
CUST00120,2025-04-22,cart_add
CUST00121,2025-04-28,cart_add
CUST00122,2025-07-21,cart_add
CUST00123,2025-07-24,cart_add
CUST00124,2024-10-17,site_visit
CUST00125,2024-10-22,site_visit
