order_id,customer_id,order_date,product,quantity,discount_pct,revenue,is_first_order
ORD000001,CUST00001,2024-09-11,Hydrating Moisturizer,1,10,25.2,True
ORD000002,CUST00001,2024-11-02,Niacinamide Serum,3,0,57.0,False
ORD000003,CUST00001,2024-11-16,SPF 50 Sunscreen,2,0,48.0,False
ORD000004,CUST00002,2025-07-02,SPF 50 Sunscreen,1,0,24.0,True
ORD000005,CUST00003,2025-02-26,Vitamin C Serum,1,0,22.0,True
ORD000006,CUST00003,2025-04-21,Eye Cream,1,0,26.0,False
ORD000007,CUST00004,2024-12-14,Eye Cream,3,0,78.0,True
ORD000008,CUST00005,2024-05-06,Face Mask Set,1,20,16.0,True
ORD000009,CUST00006,2024-05-08,Retinol Night Cream,1,0,32.0,True
ORD000010,CUST00007,2024-03-07,Gentle Cleanser,1,0,16.0,True
ORD000011,CUST00008,2025-05-21,SPF 50 Sunscreen,2,0,48.0,True
ORD000012,CUST00008,2025-06-04,Eye Cream,1,10,23.4,False
ORD000013,CUST00008,2025-07-17,Eye Cream,1,0,26.0,False
ORD000014,CUST00009,2024-12-14,Niacinamide Serum,2,0,38.0,True
ORD000015,CUST00010,2025-02-14,Niacinamide Serum,2,0,38.0,True
ORD000016,CUST00011,2024-02-16,Face Mask Set,1,10,18.0,True
ORD000017,CUST00011,2024-03-01,Eye Cream,1,25,19.5,False
ORD000018,CUST00011,2024-03-17,SPF 50 Sunscreen,1,0,24.0,False
ORD000019,CUST00011,2024-07-09,Gentle Cleanser,3,0,48.0,False
ORD000020,CUST00012,2025-07-12,Vitamin C Serum,2,0,44.0,True
ORD000021,CUST00013,2025-04-29,Niacinamide Serum,3,0,57.0,True
ORD000022,CUST00014,2024-06-08,Hydrating Moisturizer,3,0,84.0,True
ORD000023,CUST00015,2024-05-22,Vitamin C Serum,1,10,19.8,True
ORD000024,CUST00016,2024-05-23,Eye Cream,1,15,22.1,True
ORD000025,CUST00016,2024-07-18,Niacinamide Serum,2,15,32.3,False
ORD000026,CUST00016,2024-08-01,Retinol Night Cream,1,0,32.0,False
ORD000027,CUST00017,2024-07-29,Hydrating Moisturizer,1,0,28.0,True
ORD000028,CUST00017,2024-08-12,Vitamin C Serum,2,0,44.0,False
ORD000029,CUST00018,2024-11-19,SPF 50 Sunscreen,1,20,19.2,True
ORD000030,CUST00019,2024-10-16,Niacinamide Serum,2,0,38.0,True
ORD000031,CUST00020,2024-07-18,Hydrating Moisturizer,3,0,84.0,True
ORD000032,CUST00020,2024-09-22,Niacinamide Serum,1,0,19.0,False
ORD000033,CUST00020,2024-12-09,Gentle Cleanser,2,0,32.0,False
